date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2016-02-29,2.82,2.83,2.75,2.66,822315.81,-0.1,-3.51,2.892,2.932,2.901,951513.85,1028626.74,1033974.32,0.52
2016-02-26,2.82,2.88,2.85,2.78,809940.06,0.07,2.52,2.956,2.943,2.921,1160013.39,1005204.92,1024715.39,0.51
2016-02-25,3.02,3.03,2.78,2.73,1305984.25,-0.25,-8.25,2.974,2.942,2.935,1114500.84,977048.82,1024650.03,0.83
2016-02-24,3.01,3.05,3.04,2.98,674478.5,0.0,0.0,3.01,2.951,2.95,1051686.22,929731.9,1003061.29,0.43
2016-02-23,3.06,3.09,3.04,2.99,1144850.62,-0.03,-0.98,2.994,2.931,2.956,1148688.95,953649.96,1020317.12,0.73
2016-02-22,2.96,3.18,3.07,2.96,1864813.5,0.13,4.42,2.972,2.916,2.965,1105739.62,947340.14,1011414.65,1.18
2016-02-19,2.93,2.97,2.94,2.91,582377.31,-0.01,-0.34,2.93,2.891,2.969,850396.46,892843.52,950469.33,0.37
2016-02-18,2.98,3.01,2.96,2.93,991911.19,0.0,0.0,2.91,2.893,2.979,839596.8,1032289.36,968114.93,0.63
2016-02-17,2.92,3.02,2.96,2.9,1159492.12,0.03,1.02,2.892,2.867,2.995,807777.57,1030691.38,967680.59,0.74
2016-02-16,2.84,2.94,2.93,2.82,930104.0,0.08,2.81,2.868,2.866,3.01,758610.96,1018444.16,972551.18,0.59
2016-02-15,2.75,2.88,2.86,2.71,588097.69,0.02,0.7,2.86,2.87,3.025,788940.66,1039321.9,975181.29,0.37
2016-02-05,2.91,2.93,2.84,2.83,528379.0,-0.04,-1.39,2.852,2.898,3.047,935290.57,1044225.86,1043956.19,0.34
2016-02-04,2.85,2.93,2.87,2.83,832815.06,0.04,1.41,2.876,2.928,3.083,1224981.92,1072251.23,1152485.45,0.53
2016-02-03,2.85,2.88,2.84,2.78,913659.06,-0.05,-1.73,2.842,2.948,3.103,1253605.19,1076390.68,1136416.86,0.58
2016-02-02,2.79,3.04,2.89,2.79,1081752.5,0.07,2.48,2.864,2.981,3.142,1278277.36,1086984.28,1182695.99,0.69
2016-02-01,2.92,2.94,2.82,2.75,1319847.25,-0.14,-4.73,2.88,3.013,3.164,1289703.14,1075489.16,1186070.54,0.84
2016-01-29,2.71,2.96,2.96,2.67,1976835.75,0.27,10.04,2.944,3.046,3.187,1153161.14,1008095.13,1154796.83,1.26
